"CountryCode","Country","Year","Sex","LifeExpectancyAt60","LifeExpectancy","Region"
"BHR","Bahrain",2010,"BTSX",17.82102,74.51688,"Eastern Mediterranean"
"BHR","Bahrain",2015,"BTSX",19.67225,76.46371,"Eastern Mediterranean"
"BHR","Bahrain",2019,"BTSX",19.00567,75.81459,"Eastern Mediterranean"
"BHS","Bahamas",2000,"MLE",18.2528,67.63697,"Americas"
"BHS","Bahamas",2010,"MLE",19.00824,69.64163,"Americas"
"BHS","Bahamas",2015,"MLE",19.30309,69.73015,"Americas"
"BHS","Bahamas",2019,"MLE",19.1216,69.8522,"Americas"
"BHS","Bahamas",2000,"FMLE",21.36606,74.19233,"Americas"
"BHS","Bahamas",2010,"FMLE",22.21572,76.25388,"Americas"
"BHS","Bahamas",2015,"FMLE",22.27824,76.07729,"Americas"
"BHS","Bahamas",2019,"FMLE",22.3939,76.58638,"Americas"
"BHS","Bahamas",2000,"BTSX",19.94577,70.93668,"Americas"
"BHS","Bahamas",2010,"BTSX",20.69643,72.95849,"Americas"
"BHS","Bahamas",2015,"BTSX",20.87737,72.91566,"Americas"
"BHS","Bahamas",2019,"BTSX",20.8422,73.21226,"Americas"
"BIH","Bosnia and Herzegovina",2000,"MLE",17.6779,72.60197,"Europe"
"BIH","Bosnia and Herzegovina",2010,"MLE",18.21702,73.84852,"Europe"
"BIH","Bosnia and Herzegovina",2015,"MLE",18.26916,73.94138,"Europe"
"BIH","Bosnia and Herzegovina",2019,"MLE",18.59314,74.37591,"Europe"
"BIH","Bosnia and Herzegovina",2000,"FMLE",21.09557,78.03024,"Europe"
"BIH","Bosnia and Herzegovina",2010,"FMLE",21.03172,78.46719,"Europe"
"BIH","Bosnia and Herzegovina",2015,"FMLE",21.25263,78.64929,"Europe"
"BIH","Bosnia and Herzegovina",2019,"FMLE",21.56212,79.08524,"Europe"
"BIH","Bosnia and Herzegovina",2000,"BTSX",19.57512,75.41919,"Europe"
"BIH","Bosnia and Herzegovina",2010,"BTSX",19.72854,76.18808,"Europe"
"BIH","Bosnia and Herzegovina",2015,"BTSX",19.84803,76.31874,"Europe"
"BIH","Bosnia and Herzegovina",2019,"BTSX",20.16114,76.75007,"Europe"
"BLR","Belarus",2000,"MLE",14.06548,63.27564,"Europe"
"BLR","Belarus",2010,"MLE",14.13965,64.54675,"Europe"
"BLR","Belarus",2015,"MLE",15.6741,68.55762,"Europe"
"BLR","Belarus",2019,"MLE",16.03965,69.65255,"Europe"
