"CountryCode","Year","Sex","LifeExpectancyAt60"
"CAN",2015,"FMLE",25.98486
"CAN",2019,"FMLE",26.38066
"CAN",2000,"BTSX",22.51449
"CAN",2010,"BTSX",24.35057
"CAN",2015,"BTSX",24.72397
"CAN",2019,"BTSX",25.15211
"CHE",2000,"MLE",20.83634
"CHE",2010,"MLE",22.85678
"CHE",2015,"MLE",23.29617
"CHE",2019,"MLE",24.09287
"CHE",2000,"FMLE",24.80434
"CHE",2010,"FMLE",26.18852
"CHE",2015,"FMLE",26.22992
"CHE",2019,"FMLE",26.64617
"CHE",2000,"BTSX",22.99131
"CHE",2010,"BTSX",24.64704
"CHE",2015,"BTSX",24.8409
"CHE",2019,"BTSX",25.42622
"CHL",2000,"MLE",19.24646
"CHL",2010,"MLE",20.40373
"CHL",2015,"MLE",21.59913
"CHL",2019,"MLE",22.41061
"CHL",2000,"FMLE",23.08576
"CHL",2010,"FMLE",24.21569
"CHL",2015,"FMLE",25.34514
"CHL",2019,"FMLE",25.87613
"CHL",2000,"BTSX",21.32072
"CHL",2010,"BTSX",22.45455
"CHL",2015,"BTSX",23.61345
"CHL",2019,"BTSX",24.27432
"CHN",2000,"MLE",16.91879
"CHN",2010,"MLE",17.85859
"CHN",2015,"MLE",18.64987
"CHN",2019,"MLE",19.18922
"CHN",2000,"FMLE",20.09238
"CHN",2010,"FMLE",21.52052
"CHN",2015,"FMLE",22.74224
"CHN",2019,"FMLE",23.07986
"CHN",2000,"BTSX",18.43481
"CHN",2010,"BTSX",19.57869
"CHN",2015,"BTSX",20.57813
"CHN",2019,"BTSX",21.05592
"CIV",2000,"MLE",12.9146
"CIV",2010,"MLE",14.25535
"CIV",2015,"MLE",15.06924
"CIV",2019,"MLE",15.84444
"CIV",2000,"FMLE",16.81178
"CIV",2010,"FMLE",17.51949
"CIV",2015,"FMLE",18.14327
"CIV",2019,"FMLE",18.6902
"CIV",2000,"BTSX",14.49633
"CIV",2010,"BTSX",15.64794
"CIV",2015,"BTSX",16.39392
"CIV",2019,"BTSX",17.08477
"CMR",2000,"MLE",13.67728
"CMR",2010,"MLE",14.43815
"CMR",2015,"MLE",15.02234
"CMR",2019,"MLE",15.76711
"CMR",2000,"FMLE",16.40808
"CMR",2010,"FMLE",17.25393
"CMR",2015,"FMLE",17.71414
"CMR",2019,"FMLE",18.34626
"CMR",2000,"BTSX",15.05659
"CMR",2010,"BTSX",15.88012
"CMR",2015,"BTSX",16.40722
"CMR",2019,"BTSX",17.0935
"COD",2000,"MLE",13.28201
"COD",2010,"MLE",14.14408
"COD",2015,"MLE",14.92793
"COD",2019,"MLE",15.35025
"COD",2000,"FMLE",16.37929
"COD",2010,"FMLE",16.76998
"COD",2015,"FMLE",17.52332
"COD",2019,"FMLE",17.87564
"COD",2000,"BTSX",14.87635
"COD",2010,"BTSX",15.49009
"COD",2015,"BTSX",16.24967
"COD",2019,"BTSX",16.6302
"COG",2000,"MLE",12.77586
"COG",2010,"MLE",15.16086
"COG",2015,"MLE",15.50839
"COG",2019,"MLE",15.71496
"COG",2000,"FMLE",14.72978
