"IndicatorCode","SpatialDimType","SpatialDim","TimeDimType","TimeDim","Dim1Type","Dim1","NumericValue"
"WHOSIS_000001","COUNTRY","BFA","YEAR",2019,"SEX","FMLE",65.22655
"WHOSIS_000001","COUNTRY","BFA","YEAR",2000,"SEX","BTSX",51.64145
"WHOSIS_000001","COUNTRY","BFA","YEAR",2010,"SEX","BTSX",58.59142
"WHOSIS_000001","COUNTRY","BFA","YEAR",2015,"SEX","BTSX",60.91832
"WHOSIS_000001","COUNTRY","BFA","YEAR",2019,"SEX","BTSX",62.7035
"WHOSIS_000001","COUNTRY","BGD","YEAR",2000,"SEX","MLE",64.0705
"WHOSIS_000001","COUNTRY","BGD","YEAR",2010,"SEX","MLE",68.6325
"WHOSIS_000001","COUNTRY","BGD","YEAR",2015,"SEX","MLE",72.49697
"WHOSIS_000001","COUNTRY","BGD","YEAR",2019,"SEX","MLE",72.99429
"WHOSIS_000001","COUNTRY","BGD","YEAR",2000,"SEX","FMLE",67.35784
"WHOSIS_000001","COUNTRY","BGD","YEAR",2010,"SEX","FMLE",72.21562
"WHOSIS_000001","COUNTRY","BGD","YEAR",2015,"SEX","FMLE",74.78614
"WHOSIS_000001","COUNTRY","BGD","YEAR",2019,"SEX","FMLE",75.63741
"WHOSIS_000001","COUNTRY","BGD","YEAR",2000,"SEX","BTSX",65.58728
"WHOSIS_000001","COUNTRY","BGD","YEAR",2010,"SEX","BTSX",70.28825
"WHOSIS_000001","COUNTRY","BGD","YEAR",2015,"SEX","BTSX",73.58051
"WHOSIS_000001","COUNTRY","BGD","YEAR",2019,"SEX","BTSX",74.25471
"WHOSIS_000001","COUNTRY","BGR","YEAR",2000,"SEX","MLE",68.40388
"WHOSIS_000001","COUNTRY","BGR","YEAR",2010,"SEX","MLE",70.18677
"WHOSIS_000001","COUNTRY","BGR","YEAR",2015,"SEX","MLE",71.17231
"WHOSIS_000001","COUNTRY","BGR","YEAR",2019,"SEX","MLE",71.64895
"WHOSIS_000001","COUNTRY","BGR","YEAR",2000,"SEX","FMLE",74.96658
"WHOSIS_000001","COUNTRY","BGR","YEAR",2010,"SEX","FMLE",77.23328
"WHOSIS_000001","COUNTRY","BGR","YEAR",2015,"SEX","FMLE",78.04005
"WHOSIS_000001","COUNTRY","BGR","YEAR",2019,"SEX","FMLE",78.59532
"WHOSIS_000001","COUNTRY","BGR","YEAR",2000,"SEX","BTSX",71.60985
"WHOSIS_000001","COUNTRY","BGR","YEAR",2010,"SEX","BTSX",73.64205
"WHOSIS_000001","COUNTRY","BGR","YEAR",2015,"SEX","BTSX",74.55482
"WHOSIS_000001","COUNTRY","BGR","YEAR",2019,"SEX","BTSX",75.07156
"WHOSIS_000001","COUNTRY","BHR","YEAR",2000,"SEX","MLE",69.54983
"WHOSIS_000001","COUNTRY","BHR","YEAR",2010,"SEX","MLE",73.8488
"WHOSIS_000001","COUNTRY","BHR","YEAR",2015,"SEX","MLE",75.86536
"WHOSIS_000001","COUNTRY","BHR","YEAR",2019,"SEX","MLE",75.04118
"WHOSIS_000001","COUNTRY","BHR","YEAR",2000,"SEX","FMLE",71.77354
"WHOSIS_000001","COUNTRY","BHR","YEAR",2010,"SEX","FMLE",75.34072
"WHOSIS_000001","COUNTRY","BHR","YEAR",2015,"SEX","FMLE",77.27293
"WHOSIS_000001","COUNTRY","BHR","YEAR",2019,"SEX","FMLE",77.01587
"WHOSIS_000001","COUNTRY","BHR","YEAR",2000,"SEX","BTSX",70.46838
"WHOSIS_000001","COUNTRY","BHR","YEAR",2010,"SEX","BTSX",74.51688
"WHOSIS_000001","COUNTRY","BHR","YEAR",2015,"SEX","BTSX",76.46371
"WHOSIS_000001","COUNTRY","BHR","YEAR",2019,"SEX","BTSX",75.81459
"WHOSIS_000001","COUNTRY","BHS","YEAR",2000,"SEX","MLE",67.63697
"WHOSIS_000001","COUNTRY","BHS","YEAR",2010,"SEX","MLE",69.64163
"WHOSIS_000001","COUNTRY","BHS","YEAR",2015,"SEX","MLE",69.73015
"WHOSIS_000001","COUNTRY","BHS","YEAR",2019,"SEX","MLE",69.8522
"WHOSIS_000001","COUNTRY","BHS","YEAR",2000,"SEX","FMLE",74.19233
"WHOSIS_000001","COUNTRY","BHS","YEAR",2010,"SEX","FMLE",76.25388
"WHOSIS_000001","COUNTRY","BHS","YEAR",2015,"SEX","FMLE",76.07729
"WHOSIS_000001","COUNTRY","BHS","YEAR",2019,"SEX","FMLE",76.58638
"WHOSIS_000001","COUNTRY","BHS","YEAR",2000,"SEX","BTSX",70.93668
"WHOSIS_000001","COUNTRY","BHS","YEAR",2010,"SEX","BTSX",72.95849
"WHOSIS_000001","COUNTRY","BHS","YEAR",2015,"SEX","BTSX",72.91566
"WHOSIS_000001","COUNTRY","BHS","YEAR",2019,"SEX","BTSX",73.21226
"WHOSIS_000001","COUNTRY","BIH","YEAR",2000,"SEX","MLE",72.60197
"WHOSIS_000001","COUNTRY","BIH","YEAR",2010,"SEX","MLE",73.84852
"WHOSIS_000001","COUNTRY","BIH","YEAR",2015,"SEX","MLE",73.94138
"WHOSIS_000001","COUNTRY","BIH","YEAR",2019,"SEX","MLE",74.37591
"WHOSIS_000001","COUNTRY","BIH","YEAR",2000,"SEX","FMLE",78.03024
"WHOSIS_000001","COUNTRY","BIH","YEAR",2010,"SEX","FMLE",78.46719
"WHOSIS_000001","COUNTRY","BIH","YEAR",2015,"SEX","FMLE",78.64929
"WHOSIS_000001","COUNTRY","BIH","YEAR",2019,"SEX","FMLE",79.08524
"WHOSIS_000001","COUNTRY","BIH","YEAR",2000,"SEX","BTSX",75.41919
"WHOSIS_000001","COUNTRY","BIH","YEAR",2010,"SEX","BTSX",76.18808
"WHOSIS_000001","COUNTRY","BIH","YEAR",2015,"SEX","BTSX",76.31874
"WHOSIS_000001","COUNTRY","BIH","YEAR",2019,"SEX","BTSX",76.75007
"WHOSIS_000001","COUNTRY","BLR","YEAR",2000,"SEX","MLE",63.27564
"WHOSIS_000001","COUNTRY","BLR","YEAR",2010,"SEX","MLE",64.54675
"WHOSIS_000001","COUNTRY","BLR","YEAR",2015,"SEX","MLE",68.55762
"WHOSIS_000001","COUNTRY","BLR","YEAR",2019,"SEX","MLE",69.65255
"WHOSIS_000001","COUNTRY","BLR","YEAR",2000,"SEX","FMLE",74.60679
"WHOSIS_000001","COUNTRY","BLR","YEAR",2010,"SEX","FMLE",76.40522
"WHOSIS_000001","COUNTRY","BLR","YEAR",2015,"SEX","FMLE",78.79088
"WHOSIS_000001","COUNTRY","BLR","YEAR",2019,"SEX","FMLE",79.62104
"WHOSIS_000001","COUNTRY","BLR","YEAR",2000,"SEX","BTSX",68.84592
"WHOSIS_000001","COUNTRY","BLR","YEAR",2010,"SEX","BTSX",70.38769
"WHOSIS_000001","COUNTRY","BLR","YEAR",2015,"SEX","BTSX",73.81525
"WHOSIS_000001","COUNTRY","BLR","YEAR",2019,"SEX","BTSX",74.80977
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2000,"SEX","MLE",67.17996
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2010,"SEX","MLE",70.89174
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2015,"SEX","MLE",71.13895
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2019,"SEX","MLE",71.36353
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2000,"SEX","FMLE",74.01778
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2010,"SEX","FMLE",76.11723
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2015,"SEX","FMLE",77.29343
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2019,"SEX","FMLE",77.76621
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2000,"SEX","BTSX",70.34421
